Time,SM_COSMOS,TA,NETRAD,G,LE,H,RH,TA_dl,NETRAD_dl,G_dl,LE_dl,H_dl,RH_dl,TA_day_mean,TA_day_max,TA_day_min,RH_day,RH_day_min,NETRAD_day,G_day,LE_day,H_day,SM1,P_mm,TS_day_MAX,NDVI,LE_FC
2013-02-06,0.49675,-1.463,72.224,-5.464,10.678,20.088,0.75575,-0.729,137.660428571,-3.71185714286,16.5917142857,73.0701428571,0.739751428571,-0.133958333333,2.744,-1.83,0.758282916667,0.66981,28.5984166667,-4.892125,6.76445833333,27.7210416667,0.397788333333,0.0,1.949,0.38195,15.5960073396
2013-02-07,0.45204,4.034,327.412,-6.535,21.302,91.678,0.66685,8.92814285714,362.086142857,11.7684285714,41.6204285714,153.448857143,0.520351428571,6.515875,15.352,-0.351,0.646156666667,0.36341,91.391125,4.07479166667,12.0574166667,32.301625,0.3987975,0.141666666667,3.595,0.3820625,31.1131436924
2013-02-08,0.451625,0.394,25.715,-5.71,14.527,55.861,0.81031,0.183428571429,50.9521428571,-4.87457142857,2.62757142857,46.0381428571,0.815377142857,1.43533333333,8.51,-0.42,0.83702375,0.72402,9.72841666667,-3.01104166667,-1.25876190476,19.5118888889,0.406599166667,0.0458333333333,3.882,0.382175,21.2177560051
2013-02-09,0.468875,-0.866,336.431,-10.547,70.948,278.472,0.67461,1.70728571429,377.64,2.44585714286,46.4992857143,238.139571429,0.572292857143,0.746083333333,5.625,-2.758,0.609535833333,0.42028,78.9362083333,-3.69870833333,15.1893333333,72.0009166667,0.40075625,0.0,3.288,0.3822875,103.624791977
2013-02-10,0.513958333333,6.825,121.561,1.653,0.031,9.574,0.67893,8.17871428571,72.4415714286,6.29642857143,11.0882857143,-18.5798333333,0.670715714286,6.36983333333,10.484,2.344,0.682311666667,0.47945,15.5037916667,2.38325,-2.2945,-30.8508636364,0.3980225,0.15,4.061,0.3824,0.0452777886802
2013-02-11,0.492304347826,2.787,94.873,-3.618,12.72,74.721,0.60786,3.82885714286,128.268142857,-0.548142857143,-3.11228571429,104.814428571,0.586691428571,5.94008333333,11.197,2.765,0.655684166667,0.55227,1.77304166667,0.868125,-11.1880833333,25.8599545455,0.399707083333,0.0,4.615,0.3825125,18.5784990972
2013-02-12,,1.174,346.472,-10.895,41.453,99.915,0.69525,3.87671428571,357.499857143,4.97,32.4415714286,174.727714286,0.561722857143,2.53145833333,6.924,-1.511,0.648753333333,0.42808,63.5976666667,-3.02983333333,8.92941666667,43.185375,0.39693625,0.0,4.137,0.382625,60.5451669084
2013-02-13,0.425555555556,-0.651,80.714,-6.606,16.659,59.486,0.75014,1.411,197.129428571,-0.412285714286,21.2952857143,97.3477142857,0.644335714286,1.37516666667,6.7,-1.513,0.681782083333,0.40112,34.3756666667,-4.90379166667,2.42241666667,33.6580416667,0.3940675,0.0,3.65,0.3827375,24.3316994072
2013-02-14,0.452041666667,3.567,300.421,-1.027,17.808,208.834,0.83694,6.27357142857,322.464,11.4037142857,32.6022857143,207.468857143,0.708922857143,4.51304166667,9.837,1.622,0.76616,0.50943,65.9845,1.05695833333,7.06383333333,50.24325,0.390790416667,0.0,4.517,0.38285,26.009898736
2013-02-15,0.413714285714,1.177,135.568,-3.027,8.769,130.192,0.79926,1.27085714286,197.686285714,1.09885714286,-2.06128571429,197.363428571,0.685254285714,0.469708333333,2.332,-2.83,0.68677375,0.49999,22.352875,-5.81275,0.139708333333,57.9572083333,0.38982125,0.0,3.944,0.3829625,12.8077719012
2013-02-16,0.38595,-5.853,229.433,-14.112,22.365,170.032,0.67707,-4.83185714286,334.166,-8.86871428571,22.9821428571,240.116285714,0.583287142857,-4.865,-2.973,-6.343,0.629764166667,0.46928,61.1185416667,-11.8549166667,6.81566666667,71.469375,0.387425833333,0.0,2.969,0.383075,32.665733672
2013-02-17,0.394,-6.768,376.871,-13.383,31.527,270.657,0.63799,-3.46871428571,415.297285714,-10.3621428571,26.5947142857,251.925714286,0.451711428571,-4.25254166667,1.56,-9.796,0.531395833333,0.26693,85.7373333333,-11.1696666667,7.68579166667,74.8507916667,0.38380875,0.0,1.815,0.3831875,46.0475110877
2013-02-18,0.478642857143,5.314,293.721,-6.897,44.082,176.121,0.56387,9.82085714286,324.113,10.1121428571,10.6622857143,185.340714286,0.533321428571,4.12833333333,14.165,-1.981,-24.6227129167,-99.99,70.3215833333,1.54529166667,-0.608608695652,27.93495,0.381018333333,0.325,3.565,0.3833,64.3850155032
2013-02-19,0.4973,,110.232,-10.018,-17.765,49.884,-99.99,-3.8222,134.849,-9.75671428571,1.48657142857,104.920833333,-28.1014385714,-4.38525,-3.38,-5.426,-49.670645,-99.99,35.0035,-6.970625,-4.97008333333,51.4472631579,0.405535416667,0.108333333333,3.801,0.3841125,-25.9470940614
2013-02-20,0.409916666667,-8.885,401.542,-14.498,25.686,332.351,0.67595,-6.37128571429,408.680571429,-11.3721428571,29.7272857143,322.077428571,0.582397142857,-6.332375,-3.218,-9.801,0.63760625,0.47378,95.0675416667,-11.5895833333,8.67029166667,107.830041667,0.395058333333,0.0,2.049,0.384925,37.5162993561
2013-02-21,0.4625,-5.56,204.861,-11.456,8.685,100.693,0.77777,-3.54114285714,260.694142857,-10.0514285714,12.0202857143,107.436714286,0.700325714286,-4.25370833333,-0.966,-7.375,0.7576975,0.61272,51.7210833333,-10.47675,4.02391666667,31.6862083333,0.388045,0.0,1.232,0.3857375,12.6850836996
2013-02-22,0.5925,1.84,55.545,-5.705,16.889,,0.97712,1.92628571429,72.8635714286,-5.69628571429,17.7303333333,26.2795,0.920617142857,1.253625,2.354,-1.215,0.888039166667,0.79269,22.6445833333,-6.132375,7.62953846154,0.0256666666667,0.395576666667,0.225,1.341,0.38655,24.6676313877
2013-02-23,0.473545454545,-1.653,391.891,-6.863,42.722,185.092,0.64419,0.292142857143,437.416142857,-3.45242857143,24.3354285714,194.831,0.579148571429,-0.773458333333,3.062,-3.811,0.669385,0.49659,106.249041667,-4.195625,10.33725,64.8120416667,0.409108333333,0.0,1.647,0.3873625,62.3986350966
2013-02-24,0.496769230769,-0.816,414.367,-9.009,23.051,179.877,0.66326,1.60414285714,449.087857143,-0.737428571429,31.554,242.899857143,0.562561428571,0.102875,5.769,-4.05,0.664524166667,0.46838,102.517333333,-3.851875,9.25775,73.735375,0.407524583333,0.0,1.975,0.388175,33.6676873183
2013-02-25,0.4348,1.809,404.072,-8.04,41.023,227.599,0.55253,3.88828571429,435.627142857,7.39414285714,29.8791428571,199.131857143,0.490552857143,2.06320833333,6.29,-1.781,0.60788875,0.41845,95.1212916667,-0.590375,8.41904166667,49.606375,0.402561666667,0.0,2.748,0.3889875,59.9171201622
